SDPA-GMP start at Tue Jun 11 20:45:44 2024
data      is input_sdpa.dat
parameter is ./param.sdpa
out       is output_sdpa.dat
DENSE computation
   mu      thetaP  thetaD  objP      objD      alphaP  alphaD  beta 
 0 1.0e+08 1.0e+00 1.0e+00 +0.00e+00 +2.70e-55 1.0e+00 9.0e-01 3.00e-01
 1 1.6e+07 7.5e-159 1.0e-01 +3.20e+04 -4.39e-21 9.0e-01 9.0e-01 3.00e-01
 2 2.5e+06 7.5e-159 1.0e-02 +4.93e+04 +3.91e-22 9.0e-01 9.0e-01 3.00e-01
 3 3.8e+05 7.5e-159 9.8e-04 +7.57e+04 -3.52e-23 9.2e-01 9.2e-01 3.00e-01
 4 5.7e+04 7.5e-159 7.5e-05 +1.14e+05 +3.62e-24 1.0e+00 1.0e+00 3.00e-01
 5 1.5e+04 7.5e-159 5.3e-159 +1.24e+05 -5.86e-26 1.0e+00 9.0e+01 1.00e-01
 6 1.5e+03 7.5e-159 4.7e-157 +1.24e+04 +1.23e-23 1.0e+00 9.0e+01 1.00e-01
 7 1.5e+02 7.5e-159 4.2e-155 +1.24e+03 +1.99e-23 1.0e+00 9.0e+01 1.00e-01
 8 1.5e+01 7.5e-159 3.8e-153 +1.24e+02 +1.02e-21 1.0e+00 9.0e+01 1.00e-01
 9 1.5e+00 7.5e-159 3.3e-151 +1.24e+01 +3.64e-21 1.0e+00 9.0e+01 1.00e-01
10 1.5e-01 5.0e-159 3.0e-149 +1.24e+00 +8.93e-20 1.0e+00 9.0e+01 1.00e-01
11 1.5e-02 5.0e-159 2.6e-147 +1.24e-01 +4.70e-19 1.0e+00 9.0e+01 1.00e-01
12 1.5e-03 5.0e-159 2.4e-145 +1.24e-02 +8.08e-18 1.0e+00 9.0e+01 1.00e-01
13 1.5e-04 5.0e-159 2.1e-143 +1.24e-03 +5.38e-17 1.0e+00 9.0e+01 1.00e-01
14 1.5e-05 5.0e-159 1.9e-141 +1.24e-04 +7.54e-16 1.0e+00 9.0e+01 1.00e-01
15 1.5e-06 5.0e-159 1.7e-139 +1.24e-05 +5.81e-15 1.0e+00 9.0e+01 1.00e-01
16 1.5e-07 5.0e-159 1.5e-137 +1.24e-06 +7.20e-14 1.0e+00 9.0e+01 1.00e-01
17 1.5e-08 5.0e-159 1.3e-135 +1.24e-07 +6.09e-13 1.0e+00 9.0e+01 1.00e-01
18 1.6e-09 5.0e-159 1.2e-133 +1.25e-08 +6.96e-12 9.9e-01 7.5e+01 1.00e-01
19 1.6e-10 5.0e-159 8.7e-132 +1.37e-09 +5.10e-11 9.7e-01 9.7e-01 1.00e-01
20 2.0e-11 5.0e-159 2.2e-133 +2.12e-10 +5.00e-11 9.1e-01 1.2e+00 1.00e-01
21 3.2e-12 5.0e-159 5.0e-134 +9.12e-11 +6.56e-11 9.3e-01 9.7e-01 1.00e-01
22 4.9e-13 5.0e-159 1.5e-135 +7.57e-11 +7.18e-11 9.7e-01 9.7e-01 1.00e-01
23 6.2e-14 5.0e-159 4.2e-137 +7.36e-11 +7.31e-11 9.9e-01 1.0e+00 1.00e-01
24 6.4e-15 5.0e-159 4.1e-139 +7.33e-11 +7.33e-11 9.9e-01 1.0e+00 1.00e-01
25 6.4e-16 5.0e-159 4.9e-141 +7.33e-11 +7.33e-11 9.9e-01 1.0e+00 1.00e-01
26 6.4e-17 5.0e-159 6.3e-143 +7.33e-11 +7.33e-11 9.9e-01 1.0e+00 1.00e-01
27 6.4e-18 5.0e-159 8.1e-145 +7.33e-11 +7.33e-11 9.9e-01 1.0e+00 1.00e-01
28 6.4e-19 5.0e-159 1.0e-146 +7.33e-11 +7.33e-11 9.9e-01 1.0e+00 1.00e-01
29 6.4e-20 5.0e-159 1.3e-148 +7.33e-11 +7.33e-11 9.9e-01 1.0e+00 1.00e-01
30 6.4e-21 5.0e-159 1.7e-150 +7.33e-11 +7.33e-11 9.9e-01 1.0e+00 1.00e-01
31 6.4e-22 5.0e-159 2.2e-152 +7.33e-11 +7.33e-11 9.9e-01 1.0e+00 1.00e-01
32 6.4e-23 5.0e-159 2.9e-154 +7.33e-11 +7.33e-11 9.9e-01 1.0e+00 1.00e-01
