SDPA-GMP start at Mon May 26 13:39:28 2025
data      is input_sdpa.dat
parameter is ./param.sdpa
out       is output_sdpa2.dat
DENSE computation
   mu      thetaP  thetaD  objP      objD      alphaP  alphaD  beta 
 0 1.0e+08 1.0e+00 1.0e+00 +0.00e+00 +1.00e+04 9.0e-01 9.0e-01 3.00e-01
 1 1.5e+07 1.0e-01 1.0e-01 +1.15e+05 -1.34e+04 9.0e-01 9.0e-01 3.00e-01
 2 2.4e+06 1.0e-02 9.9e-03 +1.89e+05 -2.35e+04 9.0e-01 9.1e-01 3.00e-01
 3 3.7e+05 1.0e-03 9.0e-04 +2.88e+05 -3.66e+04 9.0e-01 1.0e+00 3.00e-01
 4 5.7e+04 9.8e-05 8.0e-08 +3.89e+05 -5.84e+04 9.2e-01 1.0e+00 3.00e-01
 5 1.0e+04 8.2e-06 2.2e-81 +1.59e+05 -9.03e+04 1.0e+00 1.0e+00 3.00e-01
 6 2.3e+03 3.2e-80 6.9e-81 +2.50e+04 -1.17e+05 1.0e+00 1.0e+00 3.00e-01
 7 6.8e+02 1.9e-81 1.3e-81 +5.42e+03 -3.73e+04 1.0e+00 1.0e+00 3.00e-01
 8 2.0e+02 3.2e-81 1.7e-81 +1.63e+03 -1.12e+04 1.0e+00 1.0e+00 3.00e-01
 9 6.1e+01 3.4e-81 1.7e-81 +4.88e+02 -3.36e+03 1.0e+00 1.0e+00 3.00e-01
10 1.8e+01 2.6e-81 2.6e-81 +1.46e+02 -1.01e+03 1.0e+00 1.0e+00 3.00e-01
11 5.5e+00 1.3e-81 4.7e-81 +4.40e+01 -3.02e+02 1.0e+00 1.0e+00 3.00e-01
12 1.6e+00 5.6e-81 8.6e-81 +1.32e+01 -9.06e+01 1.0e+00 1.0e+00 3.00e-01
13 4.9e-01 2.4e-80 1.5e-80 +3.99e+00 -2.71e+01 1.0e+00 1.0e+00 3.00e-01
14 1.5e-01 7.9e-81 2.6e-81 +1.22e+00 -8.12e+00 1.0e+00 1.0e+00 3.00e-01
15 4.4e-02 1.3e-81 3.0e-81 +3.82e-01 -2.42e+00 1.0e+00 1.0e+00 3.00e-01
16 1.3e-02 8.4e-100 2.6e-81 +1.19e-01 -7.21e-01 1.0e+00 1.0e+00 3.00e-01
17 4.0e-03 4.2e-100 2.2e-81 +3.59e-02 -2.16e-01 1.0e+00 1.0e+00 3.00e-01
18 1.2e-03 6.6e-100 2.6e-81 +1.08e-02 -6.49e-02 1.0e+00 1.0e+00 3.00e-01
19 3.6e-04 5.6e-100 2.2e-81 +3.24e-03 -1.95e-02 1.0e+00 1.0e+00 3.00e-01
20 1.1e-04 6.1e-100 2.6e-81 +9.72e-04 -5.84e-03 1.0e+00 1.0e+00 3.00e-01
21 3.2e-05 7.0e-100 2.6e-81 +2.92e-04 -1.75e-03 1.0e+00 1.0e+00 3.00e-01
22 9.7e-06 7.0e-100 2.6e-81 +8.75e-05 -5.25e-04 1.0e+00 1.0e+00 3.00e-01
23 2.9e-06 7.5e-100 2.2e-81 +2.63e-05 -1.58e-04 1.0e+00 1.0e+00 3.00e-01
24 8.8e-07 6.1e-100 2.6e-81 +7.88e-06 -4.73e-05 1.0e+00 1.0e+00 3.00e-01
25 2.6e-07 8.9e-100 1.7e-81 +2.36e-06 -1.42e-05 1.0e+00 1.0e+00 3.00e-01
26 7.9e-08 1.1e-99 2.2e-81 +7.09e-07 -4.25e-06 1.0e+00 1.0e+00 3.00e-01
27 2.4e-08 5.1e-100 1.7e-81 +2.13e-07 -1.28e-06 1.0e+00 1.0e+00 3.00e-01
28 7.1e-09 6.6e-100 2.2e-81 +6.39e-08 -3.83e-07 1.0e+00 1.0e+00 3.00e-01
29 2.1e-09 6.6e-100 2.9e-76 +1.95e-08 -1.14e-07 1.0e+00 1.0e+00 3.00e-01
30 6.4e-10 6.1e-100 6.6e-76 +6.70e-09 -3.35e-08 1.0e+00 1.0e+00 3.00e-01
31 1.9e-10 9.4e-100 6.3e-76 +1.82e-09 -1.02e-08 1.0e+00 1.0e+00 3.00e-01
32 5.7e-11 7.0e-100 2.1e-75 +5.92e-10 -3.03e-09 1.0e+00 1.0e+00 3.00e-01
33 1.7e-11 6.6e-100 4.1e-75 +1.55e-10 -9.30e-10 1.0e+00 1.0e+00 3.00e-01
34 5.2e-12 3.7e-100 2.9e-75 +4.65e-11 -2.79e-10 1.0e+00 1.0e+00 3.00e-01
35 1.6e-12 3.3e-100 2.5e-75 +1.40e-11 -8.37e-11 1.0e+00 1.0e+00 3.00e-01
36 4.7e-13 3.3e-100 9.0e-75 +4.19e-12 -2.51e-11 1.0e+00 1.0e+00 3.00e-01
37 1.4e-13 5.1e-100 1.9e-74 +1.26e-12 -7.54e-12 1.0e+00 1.0e+00 3.00e-01
38 4.2e-14 5.6e-100 3.2e-74 +3.77e-13 -2.26e-12 1.0e+00 1.0e+00 3.00e-01
39 1.3e-14 4.2e-100 7.8e-74 +1.13e-13 -6.78e-13 1.0e+00 1.0e+00 3.00e-01
40 3.8e-15 1.9e-100 2.4e-73 +3.39e-14 -2.03e-13 1.0e+00 1.0e+00 3.00e-01
41 1.1e-15 3.3e-100 1.6e-73 +1.02e-14 -6.10e-14 1.0e+00 1.0e+00 3.00e-01
42 3.4e-16 2.8e-100 5.6e-73 +3.06e-15 -1.83e-14 1.0e+00 1.0e+00 3.00e-01
43 1.0e-16 2.3e-100 7.7e-73 +9.26e-16 -5.48e-15 1.0e+00 1.0e+00 3.00e-01
44 3.1e-17 2.8e-100 9.8e-73 +2.89e-16 -1.63e-15 1.0e+00 1.0e+00 3.00e-01
45 9.2e-18 2.8e-100 1.3e-72 +1.06e-16 -4.70e-16 1.0e+00 1.0e+00 3.00e-01
46 2.7e-18 3.3e-100 5.2e-72 +6.34e-17 -1.10e-16 1.0e+00 9.5e-01 3.00e-01
47 9.1e-19 1.9e-100 1.8e-71 +5.03e-17 -6.71e-18 1.0e+00 6.4e-01 3.00e-01
48 3.9e-19 5.6e-100 6.9e-64 +3.03e-17 +5.94e-18 8.5e-01 7.2e-01 3.00e-01
49 1.7e-19 1.9e-99 4.5e-63 +2.09e-17 +1.03e-17 1.0e+00 7.9e-01 3.00e-01
50 5.7e-20 9.8e-100 2.2e-63 +1.55e-17 +1.19e-17 1.0e+00 9.8e-01 3.00e-01
51 1.7e-20 5.1e-100 1.5e-63 +1.35e-17 +1.24e-17 1.0e+00 1.0e+00 3.00e-01
52 5.2e-21 1.2e-99 3.7e-64 +1.29e-17 +1.26e-17 1.0e+00 1.0e+00 3.00e-01
53 1.6e-21 9.8e-100 1.5e-64 +1.27e-17 +1.26e-17 1.0e+00 1.0e+00 3.00e-01
54 4.7e-22 8.9e-100 3.9e-65 +1.26e-17 +1.26e-17 1.0e+00 1.0e+00 3.00e-01
55 1.4e-22 9.8e-100 1.3e-65 +1.26e-17 +1.26e-17 1.0e+00 1.0e+00 3.00e-01
56 4.2e-23 9.4e-100 3.9e-66 +1.26e-17 +1.26e-17 1.0e+00 1.0e+00 3.00e-01
57 1.3e-23 8.9e-100 9.9e-67 +1.26e-17 +1.26e-17 1.0e+00 1.0e+00 3.00e-01
58 3.8e-24 9.0e-100 3.0e-67 +1.26e-17 +1.26e-17 1.0e+00 1.0e+00 3.00e-01
59 1.1e-24 1.1e-99 1.7e-67 +1.26e-17 +1.26e-17 1.0e+00 1.0e+00 3.00e-01
60 3.4e-25 9.4e-100 6.1e-68 +1.26e-17 +1.26e-17 1.0e+00 1.0e+00 3.00e-01
61 1.0e-25 9.4e-100 9.4e-68 +1.26e-17 +1.26e-17 1.0e+00 1.0e+00 3.00e-01
62 3.1e-26 1.1e-99 1.9e-67 +1.26e-17 +1.26e-17 1.0e+00 1.0e+00 3.00e-01
63 9.2e-27 1.1e-99 3.6e-67 +1.26e-17 +1.26e-17 1.0e+00 1.0e+00 3.00e-01
64 2.8e-27 1.2e-99 5.1e-67 +1.26e-17 +1.26e-17 1.0e+00 1.0e+00 3.00e-01
65 8.3e-28 8.9e-100 1.1e-66 +1.26e-17 +1.26e-17 1.0e+00 1.0e+00 3.00e-01
66 2.5e-28 8.9e-100 2.1e-66 +1.26e-17 +1.26e-17 1.0e+00 1.0e+00 3.00e-01
67 7.4e-29 1.1e-99 3.4e-66 +1.26e-17 +1.26e-17 1.0e+00 1.0e+00 3.00e-01
68 2.2e-29 9.8e-100 6.8e-66 +1.26e-17 +1.26e-17 1.0e+00 1.0e+00 3.00e-01
69 6.7e-30 8.4e-100 1.2e-65 +1.26e-17 +1.26e-17 1.0e+00 1.0e+00 3.00e-01
70 2.0e-30 1.1e-99 2.4e-65 +1.26e-17 +1.26e-17 1.0e+00 1.0e+00 3.00e-01
71 6.0e-31 9.8e-100 3.8e-65 +1.26e-17 +1.26e-17 1.0e+00 1.0e+00 3.00e-01
72 1.8e-31 9.4e-100 7.7e-65 +1.26e-17 +1.26e-17 1.0e+00 1.0e+00 3.00e-01
73 5.4e-32 9.4e-100 1.3e-64 +1.26e-17 +1.26e-17 1.0e+00 1.0e+00 3.00e-01
74 1.6e-32 8.9e-100 2.4e-64 +1.26e-17 +1.26e-17 1.0e+00 1.0e+00 3.00e-01
75 4.9e-33 9.8e-100 4.6e-64 +1.26e-17 +1.26e-17 1.0e+00 1.0e+00 3.00e-01
76 1.5e-33 1.1e-99 7.6e-64 +1.26e-17 +1.26e-17 1.0e+00 1.0e+00 3.00e-01
77 4.4e-34 8.9e-100 1.4e-63 +1.26e-17 +1.26e-17 1.0e+00 1.0e+00 3.00e-01
